帳票区分	対象シート	項目キー	項目名	セル/範囲	入力種別	データ型	必須	備考
見積書	一時作業用/見積書	estimate_id	見積番号	F3	差し込み	string	TRUE	
見積書	一時作業用/見積書	document_date	書類日付	F2	差し込み	date	TRUE	
見積書	一時作業用/見積書	document_no_label	番号ラベル	E3	差し込み	string	TRUE	
見積書	一時作業用/見積書	title	帳票タイトル	A5:F5	差し込み	string	TRUE	
見積書	一時作業用/見積書	addressee_name	宛名	A8:C8	差し込み	string	TRUE	
見積書	一時作業用/見積書	addressee_suffix	敬称	D8	差し込み	string	TRUE	
見積書	一時作業用/見積書	company_name	自社名	E9	差し込み	string	TRUE	
見積書	一時作業用/見積書	company_zip	会社郵便番号	E10	差し込み	string	TRUE	
見積書	一時作業用/見積書	company_address	会社住所	E11	差し込み	string	TRUE	
見積書	一時作業用/見積書	company_tel	会社電話番号	E12	差し込み	string	TRUE	
見積書	一時作業用/見積書	company_fax	会社FAX	E13	差し込み	string	TRUE	
見積書	一時作業用/見積書	stamp_area	社印エリア	F9:F13	差し込み	image	TRUE	
見積書	一時作業用/見積書	project_name	案件名	A13:C13	差し込み	string	TRUE	
見積書	一時作業用/見積書	project_suffix	案件名接尾	D13	差し込み	string	TRUE	
見積書	一時作業用/見積書	greeting	挨拶文	A18:F18	差し込み	string	TRUE	
見積書	一時作業用/見積書	total_amount_label	合計ラベル	A19	差し込み	string	TRUE	
見積書	一時作業用/見積書	total_amount_display	合計表示	B19:C19	差し込み	money	TRUE	
見積書	一時作業用/見積書	total_amount_unit	合計単位	D19	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_header_name	明細見出し品名	A21:C21	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_header_qty	明細見出し数量	D21	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_header_unit_price	明細見出し単価	E21	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_header_amount	明細見出し金額	F21	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_name_range	明細品名範囲	A22:C37	差し込み	string	TRUE	
見積書	一時作業用/見積書	detail_qty_range	明細数量範囲	D22:D37	差し込み	number	TRUE	
見積書	一時作業用/見積書	detail_unit_price_range	明細単価範囲	E22:E37	差し込み	money	TRUE	
見積書	一時作業用/見積書	detail_amount_range	明細金額範囲	F22:F37	差し込み	money	TRUE	
見積書	一時作業用/見積書	remarks	備考	A39:D41	差し込み	string	TRUE	
見積書	一時作業用/見積書	subtotal_label	小計ラベル	E39	差し込み	string	TRUE	
見積書	一時作業用/見積書	subtotal	小計	F39	差し込み	money	TRUE	
見積書	一時作業用/見積書	tax_label	消費税ラベル	E40	差し込み	string	TRUE	
見積書	一時作業用/見積書	tax	消費税	F40	差し込み	money	TRUE	
見積書	一時作業用/見積書	grand_total_label	合計ラベル	E41	差し込み	string	TRUE	
見積書	一時作業用/見積書	grand_total	合計	F41	差し込み	money	TRUE	
請求書	一時作業用/請求書	invoice_id	請求番号	F3	差し込み	string	TRUE	
請求書	一時作業用/請求書	document_date	書類日付	F2	差し込み	date	TRUE	
請求書	一時作業用/請求書	document_no_label	番号ラベル	E3	差し込み	string	TRUE	
請求書	一時作業用/請求書	title	帳票タイトル	A5:F5	差し込み	string	TRUE	
請求書	一時作業用/請求書	addressee_name	宛名	A8:C8	差し込み	string	TRUE	
請求書	一時作業用/請求書	addressee_suffix	敬称	D8	差し込み	string	TRUE	
請求書	一時作業用/請求書	company_name	自社名	E9	差し込み	string	TRUE	
請求書	一時作業用/請求書	company_zip	会社郵便番号	E10	差し込み	string	TRUE	
請求書	一時作業用/請求書	company_address	会社住所	E11	差し込み	string	TRUE	
請求書	一時作業用/請求書	company_tel	会社電話番号	E12	差し込み	string	TRUE	
請求書	一時作業用/請求書	company_fax	会社FAX	E13	差し込み	string	TRUE	
請求書	一時作業用/請求書	stamp_area	社印エリア	F9:F13	差し込み	image	TRUE	
請求書	一時作業用/請求書	project_name	案件名	A13:C13	差し込み	string	TRUE	
請求書	一時作業用/請求書	project_suffix	案件名接尾	D13	差し込み	string	TRUE	
請求書	一時作業用/請求書	greeting	挨拶文	A18:F18	差し込み	string	TRUE	
請求書	一時作業用/請求書	total_amount_label	合計ラベル	A19	差し込み	string	TRUE	
請求書	一時作業用/請求書	total_amount_display	合計表示	B19:C19	差し込み	money	TRUE	
請求書	一時作業用/請求書	total_amount_unit	合計単位	D19	差し込み	string	TRUE	
請求書	一時作業用/請求書	detail_header_name	明細見出し品名	A21:C21	差し込み	string	TRUE	
請求書	一時作業用/請求書	detail_header_qty	明細見出し数量	D21	差し込み	string	TRUE	
請求書	一時作業用/請求書	detail_header_unit_price	明細見出し単価	E21	差し込み	string	TRUE	
請求書	一時作業用/請求書	detail_header_amount	明細見出し金額	F21	差し込み	string	TRUE	
請求書	一時作業用/請求書	detail_name_range	明細品名範囲	A22:C37	差し込み	string	TRUE	
