Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Status
検索_江戸川_段0,,自分で,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,やり方,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,方法,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,DIY,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,洗浄スプレー,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,求人,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,バイト,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,募集,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,資格,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,開業,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,フランチャイズ,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,業務用,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,賃貸 退去,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,空室,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,原状回復,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,おそうじ本舗,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,くらしのマーケット,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,,ユアマイスター,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 西葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 江東区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 墨田区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 葛飾区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン掃除 業者 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン掃除 業者 西葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン掃除 業者 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン掃除 業者 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン洗浄 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコン洗浄 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 江戸川区,Exact,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,エアコンクリーニング 西葛西,Exact,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,A_エアコン,,,,https://lp.onehitter.jp/aircon/?src=gads&cid={campaignid},エアコン掃除 江戸川区,エアコンクリーニング,エアコン1台から,満足度98.6%の実績,Googleクチコミ★5.0,"60分10,780円税込から",東京・千葉・神奈川対応,土日も承ります,Web予約は24時間受付,江戸川区の清掃業者,,,,,,専用の機材でエアコン内部を洗浄します。西葛西・葛西・浦安はすぐ伺えます。,アンケート209名のうち206名にご満足の回答。2023年1月〜2025年12月の実績です。,Googleのクチコミは★5.0（24件）。作業の内容と料金は事前にご説明します。,"東京・千葉・神奈川に対応。60分10,780円（税込）から。Webから24時間受付。",aircon,edogawa,Enabled
検索_江戸川_段0,B_レンジフード,レンジフード クリーニング 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,レンジフード クリーニング 西葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
