Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status
検索_江戸川_段0_v2,A_エアコン,,,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン掃除 業者,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 西葛西,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 葛西,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 江東区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 墨田区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 葛飾区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン掃除 業者 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン掃除 業者 西葛西,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン掃除 業者 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン掃除 業者 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン洗浄 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコン洗浄 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 江戸川区,Exact,500,Enabled
検索_江戸川_段0_v2,A_エアコン,エアコンクリーニング 西葛西,Exact,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,,,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード 掃除 業者,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,換気扇 クリーニング,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング 西葛西,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,レンジフード クリーニング 江東区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,換気扇 クリーニング 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,換気扇 クリーニング 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,B_レンジフード,換気扇 クリーニング 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,,,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,風呂 クリーニング 業者,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,お風呂掃除 業者,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング 西葛西,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,浴室クリーニング 江東区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,風呂 クリーニング 業者 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,風呂 クリーニング 業者 浦安,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,風呂 クリーニング 業者 市川,Phrase,500,Enabled
検索_江戸川_段0_v2,B_浴室,お風呂掃除 業者 江戸川区,Phrase,500,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,,,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 江戸川区,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 西葛西,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 葛西,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 浦安,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 市川,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 江東区,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 墨田区,Phrase,300,Enabled
検索_江戸川_段0_v2,C_ハウスクリーニング,ハウスクリーニング 葛飾区,Phrase,300,Enabled
